Date,Chain_ID,Category_ID,Scenario,NSV_Actual_INR,NSV_Pool_INR,COGS_INR,Variable_Trade_Spend_INR,Freight_Logistics_INR,Contribution_Margin_INR,Cont_Margin_Pct,Cont_Margin_Color,Cont_Margin_Status
2026-03-15,RR,HC,Actual,138645743.9083293,0.0,63777042.19783148,6932287.195416465,2772914.878166586,65163499.636914775,0.47,#1B5E20,High Margin (> 20%)
2026-03-15,RR,SC,Actual,99460868.897977,0.0,45751999.69306943,4973043.44489885,1989217.37795954,46746608.38204917,0.46999999999999986,#1B5E20,High Margin (> 20%)
2026-03-15,RR,BC,Actual,66075239.76324452,0.0,30394610.29109248,3303761.988162226,1321504.7952648904,31055362.68872492,0.47,#1B5E20,High Margin (> 20%)
2026-03-15,DM,HC,Actual,87736370.25172448,0.0,40358730.31579326,4386818.512586224,1754727.4050344897,41236094.01831051,0.47000000000000003,#1B5E20,High Margin (> 20%)
2026-03-15,DM,SC,Actual,121314332.30002189,0.0,55804592.85801007,6065716.615001095,2426286.646000438,57017736.18101028,0.47,#1B5E20,High Margin (> 20%)
2026-03-15,DM,BC,Actual,99989715.11290312,0.0,45995268.95193543,4999485.755645156,1999794.3022580624,46995166.10306447,0.47000000000000003,#1B5E20,High Margin (> 20%)
2026-03-15,WF,HC,Actual,86911317.84074079,0.0,39979206.20674076,4345565.89203704,1738226.3568148157,40848319.38514817,0.47,#1B5E20,High Margin (> 20%)
2026-03-15,WF,SC,Actual,125776948.20457256,0.0,57857396.17410339,6288847.410228629,2515538.9640914514,59115165.656149104,0.47000000000000003,#1B5E20,High Margin (> 20%)
2026-03-15,WF,BC,Actual,88059772.99012454,0.0,40507495.57545729,4402988.649506227,1761195.459802491,41388093.30535853,0.47,#1B5E20,High Margin (> 20%)
2026-04-15,RR,HC,Actual,52223981.011359066,0.0,24023031.26522517,2611199.0505679534,1044479.6202271814,24545271.075338762,0.47000000000000003,#1B5E20,High Margin (> 20%)
2026-04-15,RR,SC,Actual,99270781.62625232,0.0,45664559.54807607,4963539.081312616,1985415.6325250464,46657267.364338584,0.4699999999999999,#1B5E20,High Margin (> 20%)
2026-04-15,RR,BC,Actual,92906578.87814718,0.0,42737026.283947706,4645328.94390736,1858131.577562944,43666092.07272918,0.47000000000000003,#1B5E20,High Margin (> 20%)
2026-04-15,DM,HC,Actual,96318230.22488272,0.0,44306385.903446056,4815911.511244136,1926364.6044976544,45269568.20569488,0.47,#1B5E20,High Margin (> 20%)
2026-04-15,DM,SC,Actual,86823413.14339158,0.0,39938770.04596013,4341170.65716958,1736468.2628678316,40807004.17739404,0.47,#1B5E20,High Margin (> 20%)
2026-04-15,DM,BC,Actual,146974723.90684724,0.0,67608372.99714974,7348736.195342362,2939494.478136945,69078120.2362182,0.47,#1B5E20,High Margin (> 20%)
2026-04-15,WF,HC,Actual,79062634.18574849,0.0,36368811.72544431,3953131.7092874246,1581252.6837149698,37159438.06730178,0.46999999999999986,#1B5E20,High Margin (> 20%)
2026-04-15,WF,SC,Actual,109550521.86405309,0.0,50393240.05746442,5477526.093202654,2191010.437281062,51488745.27610495,0.47,#1B5E20,High Margin (> 20%)
2026-04-15,WF,BC,Actual,100869584.4339419,0.0,46400008.83961328,5043479.221697096,2017391.688678838,47408704.68395268,0.46999999999999986,#1B5E20,High Margin (> 20%)
2026-05-15,RR,HC,Actual,92127517.11808825,0.0,42378657.8743206,4606375.855904412,1842550.342361765,43299933.04550147,0.47,#1B5E20,High Margin (> 20%)
2026-05-15,RR,SC,Actual,117168389.44900192,0.0,53897459.14654088,5858419.472450096,2343367.7889800384,55069143.04103091,0.4700000000000001,#1B5E20,High Margin (> 20%)
2026-05-15,RR,BC,Actual,118891771.7411606,0.0,54690215.00093387,5944588.58705803,2377835.434823212,55879132.718345486,0.47000000000000003,#1B5E20,High Margin (> 20%)
2026-05-15,DM,HC,Actual,123617587.99829257,0.0,56864090.47921458,6180879.399914629,2472351.7599658514,58100266.359197505,0.47,#1B5E20,High Margin (> 20%)
2026-05-15,DM,SC,Actual,80557957.93295214,0.0,37056660.64915799,4027897.896647607,1611159.1586590428,37862240.22848749,0.46999999999999986,#1B5E20,High Margin (> 20%)
2026-05-15,DM,BC,Actual,116569942.03634772,0.0,53622173.33671996,5828497.101817387,2331398.840726955,54787872.757083416,0.4699999999999999,#1B5E20,High Margin (> 20%)
2026-05-15,WF,HC,Actual,60722434.35975897,0.0,27932319.80548913,3036121.717987949,1214448.6871951795,28539544.149086718,0.47000000000000003,#1B5E20,High Margin (> 20%)
2026-05-15,WF,SC,Actual,113259579.1453608,0.0,52099406.40686598,5662978.957268041,2265191.582907216,53232002.19831957,0.47,#1B5E20,High Margin (> 20%)
2026-05-15,WF,BC,Actual,82484361.71278292,0.0,37942806.38788015,4124218.085639146,1649687.2342556585,38767650.00500797,0.4699999999999999,#1B5E20,High Margin (> 20%)
2026-06-15,POOL,UNALLOC,Forecast_Unallocated,0.0,40000000000.0,0.0,0.0,0.0,0.0,,#9E9E9E,No Data
2026-06-30,DM,BC,Forecast_Allocated,5419071397.651661,0.0,0.0,0.0,0.0,5419071397.651661,1.0,#1B5E20,High Margin (> 20%)
2026-06-30,DM,HC,Forecast_Allocated,4586354532.887866,0.0,0.0,0.0,0.0,4586354532.887866,1.0,#1B5E20,High Margin (> 20%)
2026-06-30,DM,SC,Forecast_Allocated,4303479148.923673,0.0,0.0,0.0,0.0,4303479148.923673,1.0,#1B5E20,High Margin (> 20%)
2026-06-30,RR,BC,Forecast_Allocated,4142157947.84069,0.0,0.0,0.0,0.0,4142157947.84069,1.0,#1B5E20,High Margin (> 20%)
2026-06-30,RR,HC,Forecast_Allocated,4218534311.6269593,0.0,0.0,0.0,0.0,4218534311.6269593,1.0,#1B5E20,High Margin (> 20%)
2026-06-30,RR,SC,Forecast_Allocated,4709004045.677286,0.0,0.0,0.0,0.0,4709004045.677286,1.0,#1B5E20,High Margin (> 20%)
2026-06-30,WF,BC,Forecast_Allocated,4045863057.111499,0.0,0.0,0.0,0.0,4045863057.111499,1.0,#1B5E20,High Margin (> 20%)
2026-06-30,WF,HC,Forecast_Allocated,3379278460.122142,0.0,0.0,0.0,0.0,3379278460.122142,1.0,#1B5E20,High Margin (> 20%)
2026-06-30,WF,SC,Forecast_Allocated,5196257098.158223,0.0,0.0,0.0,0.0,5196257098.158223,1.0,#1B5E20,High Margin (> 20%)
