Financial_Year,Quarter,Month,Chain,Brand,Expense_Category,Expense_Subcategory,Expense_Lacs,Allocation_Basis,Allocation_Rule,Scenario,Data_Status,Decision_ID,Include_Status,Source_Reference,Assumption_Note,Approved_By,Approved_At,Last_Updated
FY27,Q1,Apr-26,,Mamaearth,COGS,(all brands),1078.75,GMV_MRP_SALES,COGS_Rate_D10_Approved,Base,PROVISIONAL,D1,PENDING_APPROVAL,Business rate card 2026-07-24 (14.08% COGS rate applied to Apr-26 GMV/MRP 7655.33L),Q1 FY27 COGS base scenario per D10 approved basis (GMV/MRP),,2026-07-25
FY27,Q1,May-26,,Mamaearth,COGS,(all brands),978.25,GMV_MRP_SALES,COGS_Rate_D10_Approved,Base,PROVISIONAL,D1,PENDING_APPROVAL,Business rate card 2026-07-24 (14.08% COGS rate applied to May-26 GMV/MRP 6945.53L),Q1 FY27 COGS base scenario per D10 approved basis (GMV/MRP),,2026-07-25
FY27,Q1,Jun-26,,Mamaearth,COGS,(all brands),1354.21,GMV_MRP_SALES,COGS_Rate_D10_Approved,Base,PROVISIONAL,D1,PENDING_APPROVAL,Business rate card 2026-07-24 (14.08% COGS rate applied to Jun-26 GMV/MRP 9300.91L from D12 authoritative seed),Q1 FY27 COGS base scenario per D10 approved basis (GMV/MRP),,2026-07-25
FY27,Q1,,,,COGS,(all),4411.21,GMV_MRP_SALES,COGS_Rate_D10_Approved,Base,PROVISIONAL,D1,PENDING_APPROVAL,Business rate card 2026-07-24; D12 Jun-26 source,Q1 FY27 total COGS tentative - Finance must confirm decision D1 (INCLUDE in CM2 or EXCLUDE),,2026-07-25
FY27,Q1,Apr-26,,Mamaearth,LOGISTICS,(all brands),98.64,NSV,Logistics_Rate_D10_D11_Approved,Base,PROVISIONAL,D1,PENDING_APPROVAL,Business rate card 2026-07-24 (3.27% logistics rate applied to Apr-26 NSV 3014.88L),Q1 FY27 Logistics base scenario per D10/D11 approved basis (NSV),,2026-07-25
FY27,Q1,May-26,,Mamaearth,LOGISTICS,(all brands),91.95,NSV,Logistics_Rate_D10_D11_Approved,Base,PROVISIONAL,D1,PENDING_APPROVAL,Business rate card 2026-07-24 (3.27% logistics rate applied to May-26 NSV 2809.93L),Q1 FY27 Logistics base scenario per D10/D11 approved basis (NSV),,2026-07-25
FY27,Q1,Jun-26,,Mamaearth,LOGISTICS,(all brands),170.45,NSV,Logistics_Rate_D10_D11_Approved,Base,PROVISIONAL,D1,PENDING_APPROVAL,Business rate card 2026-07-24 (3.27% logistics rate applied to Jun-26 NSV 5208.78L from D12),Q1 FY27 Logistics base scenario per D10/D11 approved basis (NSV) - Jun memo only pending D1 approval,,2026-07-25
FY27,Q1,,,,LOGISTICS,(all),360.37,NSV,Logistics_Rate_D10_D11_Approved,Base,PROVISIONAL,D1,PENDING_APPROVAL,Business rate card 2026-07-24,Q1 FY27 total Logistics tentative - contingent on D1 approval of cost inclusion,,2026-07-25
FY27,Q1,Apr-26,Dmart,Mamaearth,TRADE_EXPENSE,(visibility),12.5,NOT_APPLICABLE_ABSOLUTE_AMOUNT,None,Base,PROVISIONAL,D2/D3/D4,PENDING_APPROVAL,PL_Expense_Input.csv EXAMPLE ROW,EXAMPLE DATA - replace with real trade claims from MTIndirect_Claim,,2026-07-25
FY27,Q1,Apr-26,Reliance Retail,,TRADE_EXPENSE,(scheme),28.4,NOT_APPLICABLE_ABSOLUTE_AMOUNT,None,Base,PROVISIONAL,D2/D3/D4,PENDING_APPROVAL,PL_Expense_Input.csv EXAMPLE ROW,EXAMPLE DATA - replace with real trade claims from MTIndirect_Claim,,2026-07-25
