Month_Label,Chain,Brand,Article_Code,EAN,Primary_NSV_Lakh,Derivation_Method
Apr'24,APNA KLUB,MAMAEARTH,8904417300512,8904417300512,0.23174826143573826,Brand_Pareto_Assortment_Fallback
Apr'24,APNA KLUB,MAMAEARTH,8904417300628,8904417300628,0.0001976664365957502,Brand_Pareto_Assortment_Fallback
Apr'24,APNA KLUB,MAMAEARTH,8904417300659,8904417300659,0.018495890358429065,Brand_Pareto_Assortment_Fallback
Apr'24,APNA KLUB,MAMAEARTH,8904417300673,8904417300673,0.00157745085239564,Brand_Pareto_Assortment_Fallback
Apr'24,APNA KLUB,MAMAEARTH,8904417301496,8904417301496,2.339536276412784e-09,Brand_Pareto_Assortment_Fallback
Apr'24,APNA KLUB,MAMAEARTH,8904417301762,8904417301762,0.003692397486852461,Brand_Pareto_Assortment_Fallback
Apr'24,APNA KLUB,MAMAEARTH,8904417302097,8904417302097,2.339536276412784e-09,Brand_Pareto_Assortment_Fallback
Apr'24,APNA KLUB,MAMAEARTH,8904417302301,8904417302301,0.0009692762733894024,Brand_Pareto_Assortment_Fallback
Apr'24,APNA KLUB,MAMAEARTH,8904417302318,8904417302318,0.0004969950607375998,Brand_Pareto_Assortment_Fallback
Apr'24,APNA KLUB,MAMAEARTH,8904417302325,8904417302325,0.0006893512198758238,Brand_Pareto_Assortment_Fallback
Apr'24,APNA KLUB,MAMAEARTH,8904417302578,8904417302578,1.767870587271321e-05,Brand_Pareto_Assortment_Fallback
Apr'24,APNA KLUB,MAMAEARTH,8904417302608,8904417302608,0.0034417082366031758,Brand_Pareto_Assortment_Fallback
Apr'24,APNA KLUB,MAMAEARTH,8904417303131,8904417303131,0.00011372427351233738,Brand_Pareto_Assortment_Fallback
Apr'24,APNA KLUB,MAMAEARTH,8904417303308,8904417303308,0.0012235613158848068,Brand_Pareto_Assortment_Fallback
Apr'24,APNA KLUB,MAMAEARTH,8904417303315,8904417303315,0.0019697710789495855,Brand_Pareto_Assortment_Fallback
Apr'24,APNA KLUB,MAMAEARTH,8904417303322,8904417303322,0.0029836979355092916,Brand_Pareto_Assortment_Fallback
Apr'24,APNA KLUB,MAMAEARTH,8904417303407,8904417303407,6.333662793592982e-05,Brand_Pareto_Assortment_Fallback
Apr'24,APNA KLUB,MAMAEARTH,8904417303445,8904417303445,0.0004534362479451587,Brand_Pareto_Assortment_Fallback
Apr'24,APNA KLUB,MAMAEARTH,8904417303537,8904417303537,0.2576859812918519,Brand_Pareto_Assortment_Fallback
Apr'24,APNA KLUB,MAMAEARTH,8904417304298,8904417304298,0.0032474260819825747,Brand_Pareto_Assortment_Fallback
Apr'24,APNA KLUB,MAMAEARTH,8904417305043,8904417305043,0.006844040870802226,Brand_Pareto_Assortment_Fallback
Apr'24,APNA KLUB,MAMAEARTH,8904417305050,8904417305050,0.003135006080117708,Brand_Pareto_Assortment_Fallback
